ID,분야,제목,저자/팀,연도/기준 문헌,자료 유형,무엇을 모델링했나,출처
M011,문화·유행·지식의 확산,A New Product Growth for Model Consumer Durables,Frank M. Bass,1969,paper,자발적 구매와 주변 사람의 모방이 신제품의 최초 구매 확산을 만드는 과정.,https://doi.org/10.1287/mnsc.15.5.215
M012,문화·유행·지식의 확산,Modelling the dynamics of language death,Daniel M. Abrams; Steven H. Strogatz,2003,paper,경쟁하는 언어 사이에서 사용자가 이동하며 소수 언어가 쇠퇴하는 과정.,https://www.nature.com/articles/424900a
M013,문화·유행·지식의 확산,The Economics of Cultural Transmission and the Dynamics of Preferences,Alberto Bisin; Thierry Verdier,2001,paper,부모와 사회가 다음 세대에 취향·가치관을 전달하면서 문화의 비율이 변하는 과정.,https://doi.org/10.1006/jeth.2000.2678
M014,문화·유행·지식의 확산,The universal decay of collective memory and attention,Cristian Candia et al.,2019 (online 2018),paper,노래·영화·논문 등에 대한 집단적 기억과 관심이 구전과 기록의 경로를 거쳐 약해지는 과정.,https://www.nature.com/articles/s41562-018-0474-5
M015,문화·유행·지식의 확산,Accelerating dynamics of collective attention,Philipp Lorenz-Spreen et al.,2019,paper,콘텐츠의 생산·소비가 늘면서 한 주제에 모이는 관심의 지속 시간이 짧아지는 현상.,https://www.nature.com/articles/s41467-019-09311-w
M016,문화·유행·지식의 확산,Demography and Cultural Evolution: How Adaptive Cultural Processes Can Produce Maladaptive Losses—The Tasmanian Case,Joseph Henrich,2004,paper,서로 배우는 사람의 집단이 작아질 때 복잡한 기술과 관습이 사라질 수 있는 과정.,https://henrich.fas.harvard.edu/files/henrich/files/henrich_2004-2.pdf
M017,문화·유행·지식의 확산,The power of a good idea: Quantitative modeling of the spread of ideas from epidemiological models,Luís M. A. Bettencourt et al.,2006,paper,과학적 아이디어를 받아들이거나 떠나는 연구자들의 변화를 전염병과 비슷한 구조로 표현.,https://arxiv.org/abs/physics/0502067
M018,문화·유행·지식의 확산,A network framework of cultural history,Maximilian Schich et al.,2014,paper,인물들의 출생지·사망지 연결을 통해 문화적 이동과 중심 도시의 흥망을 표현.,https://doi.org/10.1126/science.1240064
M019,문화·유행·지식의 확산,On a Class of Skew Distribution Functions,Herbert A. Simon,1955,paper,단어 빈도·논문 수·도시 규모·소득 등이 소수에 집중되는 분포를 확률적 성장으로 표현.,https://snap.stanford.edu/class/cs224w-readings/Simon55Skewdistribution.pdf
M020,문화·유행·지식의 확산,Understanding Complex Social Dynamics: A Plea For Cellular Automata Based Modelling,Rainer Hegselmann; Andreas Flache,1998,paper,사람들이 서로 도움을 주고받는 관계망이 국소적 상호작용으로 형성·변화하는 과정.,https://www.jasss.org/1/3/1.html
M021,마음·판단·관계,The Mathematics of Marriage,John Gottman; James Murray; Catherine Swanson; Rebecca Tyson; Kristin Swanson,2002,book,부부의 대화에서 한 사람의 정서적 반응이 상대에게 영향을 주고 다시 돌아오는 과정.,https://mitpress.mit.edu/9780262572309/the-mathematics-of-marriage/
M022,마음·판단·관계,Laura and Petrarch: An Intriguing Case of Cyclical Love Dynamics,Sergio Rinaldi,1998,paper,"페트라르카와 라우라의 감정, 시인의 창작 영감이 서로 영향을 주며 진동하는 관계.",https://www.imsc.res.in/~sitabhra/meetings/sgn24/assets/presentations/Rinaldi_SIAMRev_1998_Laura_and_Petrarch.pdf
M023,마음·판단·관계,Prospect Theory: An Analysis of Decision under Risk,Daniel Kahneman; Amos Tversky,1979,paper,사람이 이득·손실과 확률을 비대칭적으로 받아들여 위험한 선택을 하는 방식.,https://kahneman.scholar.princeton.edu/sites/g/files/toruqf3831/files/kahneman/files/prospect_theory.pdf
M024,마음·판단·관계,A Theory of Pavlovian Conditioning: Variations in the Effectiveness of Reinforcement and Nonreinforcement,Robert A. Rescorla; Allan R. Wagner,1972,chapter,예상한 보상과 실제 보상의 차이에 따라 자극과 결과의 연결을 배우는 과정.,https://bpb-us-w2.wpmucdn.com/about.illinoisstate.edu/dist/6/45/files/2021/01/RescorlaWagner.1972.pdf
M025,마음·판단·관계,A theory of memory retrieval,Roger Ratcliff,1978,paper,기억 속 정보와 증거를 비교·축적하면서 정답률과 응답 시간이 결정되는 과정.,https://www.researchgate.net/publication/232574960_A_theory_of_memory_retrieval
M026,마음·판단·관계,The free-energy principle: a unified brain theory?,Karl Friston,2010,review/framework,지각·학습·행동을 하나의 수학적 원리로 묶으려는 뇌 기능의 통합 틀.,https://www.nature.com/articles/nrn2787
M027,마음·판단·관계,Decision field theory: a dynamic-cognitive approach to decision making in an uncertain environment,Jerome R. Busemeyer; James T. Townsend,1993,paper,불확실한 결과들 사이에서 주의가 이동하며 선호와 결정 시간이 달라지는 과정.,https://pubmed.ncbi.nlm.nih.gov/8356185/
M028,마음·판단·관계,Anticipation and the Valuation of Delayed Consumption,George Loewenstein,1987,paper,좋은 일을 기다리는 즐거움과 나쁜 일을 앞둔 두려움이 기다림의 가치를 바꾸는 방식.,https://www.cmu.edu/dietrich/sds/docs/loewenstein/AnticipationDelayed.pdf
M029,갈등·정치·인공 사회,The Evolution of Cooperation,Robert Axelrod; William D. Hamilton,1981,paper,반복해서 만나는 상대 사이에서 협력이 생기고 유지되는 조건.,https://www-personal.umich.edu/~axe/research/Axelrod%20and%20Hamilton%20EC%201981.pdf
M030,갈등·정치·인공 사회,Growing Artificial Societies / Sugarscape,Joshua M. Epstein; Robert L. Axtell,1996,book/project,자원을 모으고 교환하는 가상 개인들로부터 부의 분포·이동·사회 구조가 생기는 과정.,https://direct.mit.edu/books/monograph/2503/Growing-Artificial-SocietiesSocial-Science-from
M031,갈등·정치·인공 사회,Modeling civil violence: An agent-based computational approach,Joshua M. Epstein,2002,paper,시민의 불만·위험 인식과 공권력이 맞물리며 반란이나 집단 폭력이 발생하는 과정.,https://pmc.ncbi.nlm.nih.gov/articles/PMC128592/
M032,갈등·정치·인공 사회,"War, space, and the evolution of Old World complex societies",Peter Turchin et al.,2013,paper,전쟁·지리·문화적 진화가 결합해 대규모 복합 사회가 등장하는 과정.,https://pmc.ncbi.nlm.nih.gov/articles/PMC3799307/
M033,갈등·정치·인공 사회,Arms and Insecurity: A Mathematical Study of the Causes and Origins of War,Lewis Fry Richardson,1960,book/limited preview,각국의 군비가 상대의 군비에 반응하며 경쟁이 확대되거나 안정되는 과정. 제한된 원전 미리보기 확인.,https://books.google.com/books/about/Arms_and_Insecurity.html?id=JnjeAAAAMAAJ
M034,갈등·정치·인공 사회,Sparks and prairie fires: A theory of unanticipated political revolution,Timur Kuran,1989,paper,숨겨 둔 반대 의견이 드러나면서 안정적으로 보이던 정권에 저항이 급속히 번지는 과정.,https://scholars.duke.edu/publication/692936
M035,제도·배분·가치,College Admissions and the Stability of Marriage,David Gale; Lloyd S. Shapley,1962,paper,학교와 지원자처럼 서로 선호가 있는 두 집단을 이탈 유인이 없는 짝으로 배정하는 규칙.,https://doi.org/10.1080/00029890.1962.11989827
M036,제도·배분·가치,Kidney Exchange,Alvin E. Roth; Tayfun Sönmez; M. Utku Ünver,2004,paper,원래 짝끼리는 이식할 수 없는 기증자·환자들이 서로 교환해 이식받는 배정 구조.,https://doi.org/10.1162/0033553041382157
M037,제도·배분·가치,"Counterspeculation, Auctions, and Competitive Sealed Tenders",William Vickrey,1961,paper,경매 방식에 따라 입찰자의 행동과 희소한 물건의 배분이 달라지는 방식.,https://doi.org/10.1111/j.1540-6261.1961.tb02789.x
M038,제도·배분·가치,Liberal Radicalism: A Flexible Design For Philanthropic Matching Funds,Vitalik Buterin; Zoë Hitzig; E. Glen Weyl,2018,working paper,개별 기부를 제곱근·제곱 규칙으로 결합해 공공 프로젝트의 지원금을 정하는 제도.,https://www.microsoft.com/en-us/research/publication/liberal-radicalism-a-flexible-design-for-philanthropic-matching-funds/
M039,제도·배분·가치,Combinatorial Information Market Design,Robin Hanson,2003,paper,여러 사건의 발생 가능성에 대한 사람들의 정보를 거래와 점수 규칙으로 모으는 시장.,https://mason.gmu.edu/~rhanson/combobet.pdf
M040,제도·배분·가치,The Combinatorial Assignment Problem: Approximate Competitive Equilibrium from Equal Incomes,Eric Budish,2011,paper,학생들에게 비슷한 가상 예산을 주고 여러 강의로 이루어진 시간표를 배정하는 규칙.,https://doi.org/10.1086/664613
M041,제도·배분·가치,Economics and Identity,George A. Akerlof; Rachel E. Kranton,2000,paper,자신이 어떤 사람인지와 그 역할에 기대되는 규범이 경제적 선택에 미치는 영향.,https://doi.org/10.1162/003355300554881
M042,제도·배분·가치,"A Theory of Fairness, Competition, and Cooperation",Ernst Fehr; Klaus M. Schmidt,1999,paper,사람들이 불평등을 싫어한다는 조건으로 협상·협력·처벌 행동을 설명.,https://doi.org/10.1162/003355399556151
M043,제도·배분·가치,The Market for “Lemons”: Quality Uncertainty and the Market Mechanism,George A. Akerlof,1970,paper,판매자와 구매자의 정보 차이 때문에 좋은 상품이 시장에서 사라질 수 있는 과정.,https://academic.oup.com/qje/article-abstract/84/3/488/1896241
M044,제도·배분·가치,"Hockey Helmets, Concealed Weapons, and Daylight Saving: A Study of Binary Choices With Externalities",Thomas C. Schelling,1973,paper,헬멧 착용·무장처럼 남의 선택이 내 선택의 득실을 바꾸는 상황과 집단적 결과.,https://doi.org/10.1177/002200277301700302
M045,시장·경제,Systemic Risk in Financial Systems,Larry Eisenberg; Thomas H. Noe,2001,paper,서로 빚을 진 금융기관들의 상환과 연쇄 부도가 연결망을 통해 전파되는 과정.,https://doi.org/10.1287/mnsc.47.2.236.9835
M046,시장·경제,Inductive Reasoning and Bounded Rationality / El Farol,W. Brian Arthur,1994,paper,너무 붐비면 즐겁지 않은 술집에 사람들이 서로의 방문을 예측하며 갈지 결정하는 과정.,https://sites.santafe.edu/~wbarthur/elfarol.htm
M047,시장·경제,Scaling and criticality in a stochastic multi-agent model of a financial market,Thomas Lux; Michele Marchesi,1999,paper,서로 영향을 주고 투자 방식을 바꾸는 거래자들로부터 가격 변동이 생기는 과정.,https://www.nature.com/articles/17290
M048,시장·경제,Large financial crashes,Didier Sornette; Anders Johansen,1997,paper,대규모 시장 붕괴와 그 전에 나타난다고 제안된 임계적·로그 주기적 가격 패턴.,https://arxiv.org/abs/cond-mat/9704127
M049,시장·경제,Quantitative Input and Output Relations in the Economic Systems of the United States,Wassily W. Leontief,1936,paper/bibliographic check,미국 경제에서 각 부문의 투입과 산출이 서로 연결되는 구조. 이번에는 서지·제목 수준 확인.,https://www.jstor.org/stable/1927837
M050,시장·경제,A Theory of Interdependent Demand for a Communications Service,Jeffrey Rohlfs,1974,paper,다른 가입자가 누구이며 얼마나 있는지에 따라 통신 서비스의 가치와 가입 수요가 달라지는 방식.,https://www.jstor.org/stable/3003090
M051,도시·이동,Social force model for pedestrian dynamics,Dirk Helbing; Peter Molnár,1995,paper,목적지로 가려는 힘과 타인·장애물을 피하려는 힘으로 보행자의 움직임을 표현.,https://harvest.aps.org/v2/journals/articles/10.1103/PhysRevE.51.4282/fulltext
M052,도시·이동,On kinematic waves II. A theory of traffic flow on long crowded roads,M. J. Lighthill; G. B. Whitham,1955,paper,도로 위 차량 밀도의 변화와 정체 구간이 파동처럼 이동하는 현상.,https://onlinepubs.trb.org/Onlinepubs/sr/sr79/79-002.pdf
M053,도시·이동,A cellular automaton model for freeway traffic,Kai Nagel; Michael Schreckenberg,1992,paper,가속·감속·우발적인 속도 저하라는 단순 규칙으로 정체가 생기는 과정.,https://doi.org/10.1051/jp1:1992277
M054,도시·이동,The origins of scaling in cities,Luís M. A. Bettencourt,2013,paper,도시 인구가 늘어날 때 기반시설과 사회·경제적 생산량이 서로 다른 비율로 늘어나는 방식.,https://www.colorado.edu/socialreactors/sites/default/files/attached-files/bettencourt_2013_science.pdf
M055,도시·이동,A statistical theory of spatial distribution models,Alan G. Wilson,1967,paper,총량과 이동 제약 아래에서 사람·이동량이 지역 사이에 어떻게 분포하는지 표현.,https://doi.org/10.1016/0041-1647(67)90035-4
M056,도시·이동,"UrbanSim: Modeling Urban Development for Land Use, Transportation, and Environmental Planning",Paul Waddell,2002,paper/project,토지 개발·가구와 기업의 입지·교통이 서로 영향을 주며 도시가 변하는 과정.,https://doi.org/10.1080/01944360208976274
M057,도시·이동,The Multi-Agent Transport Simulation MATSim,"Andreas Horni; Kai Nagel; Kay W. Axhausen, eds.",2016 reference book,project,개인별 하루 활동·경로 선택을 결합해 도시 교통과 혼잡을 재현.,https://matsim.org/the-book/
M058,도시·이동,"The Hidden Geometry of Complex, Network-Driven Contagion Phenomena",Dirk Brockmann; Dirk Helbing,2013,paper,지리적 거리 대신 사람의 이동 연결성을 이용해 감염의 확산 경로와 도착 시점을 표현.,https://pdodds.w3.uvm.edu/research/papers/others/2013/brockmann2013a.pdf
M059,도시·이동,A Statistical Model of Criminal Behavior,Martin B. Short et al.,2008,paper,범죄자의 이동과 장소의 매력도가 맞물리면서 범죄 집중 지역이 생기고 변하는 과정.,https://www.mshort9.math.gatech.edu/papers/crime1.pdf
M060,생명·신체,The Chemical Basis of Morphogenesis,Alan M. Turing,1952,paper,화학물질의 반응과 확산만으로 생물의 공간적 무늬와 형태가 생기는 과정.,https://doi.org/10.1093/oso/9780198250791.003.0022
M061,생명·신체,A quantitative description of membrane current and its application to conduction and excitation in nerve,Alan L. Hodgkin; Andrew F. Huxley,1952,paper,세포막의 이온 전류가 신경의 전기 신호를 만들고 전달하는 과정.,https://doi.org/10.1113/jphysiol.1952.sp004764
M062,생명·신체,A contribution to the mathematical theory of epidemics,W. O. Kermack; A. G. McKendrick,1927,paper,감염 가능한 사람이 감염되고 제거·회복되면서 유행이 커졌다가 잦아드는 과정.,https://pubmed.ncbi.nlm.nih.gov/2059741/
M063,생명·신체,A Whole-Cell Computational Model Predicts Phenotype from Genotype,Jonathan R. Karr et al.,2012,paper/project,유전자와 분자 과정들을 통합해 세균 한 세포의 생애와 행동을 계산하려는 시도.,https://pmc.ncbi.nlm.nih.gov/articles/PMC3413483/
M064,생명·신체,A synthetic oscillatory network of transcriptional regulators,Michael B. Elowitz; Stanislas Leibler,2000,paper,유전자들이 서로 억제하게 설계해 세포 안에서 반복 진동을 만드는 회로.,https://www.nature.com/articles/35002125
M065,생명·신체,Construction of a genetic toggle switch in Escherichia coli,Timothy S. Gardner; Charles R. Cantor; James J. Collins,2000,paper,세포가 두 안정 상태 중 하나를 유지하도록 만드는 유전적 스위치.,https://www.nature.com/articles/35002131
M066,생명·신체,Simple Model of Spiking Neurons,Eugene M. Izhikevich,2003,paper,다양한 신경세포의 발화·연속 발화 패턴을 적은 계산으로 재현.,https://izhikevich.org/publications/spikes.htm
M067,생명·신체,"Flocks, herds and schools: A distributed behavioral model / Boids",Craig W. Reynolds,1987,paper/project,개체별 단순 이동 규칙을 결합해 새 떼·물고기 떼의 집단 운동을 생성.,https://doi.org/10.1145/37401.37406
M068,생명·신체,Novel Type of Phase Transition in a System of Self-Driven Particles,Tamás Vicsek et al.,1995,paper,이웃과 방향을 맞추는 움직임과 잡음이 경쟁하며 집단의 방향성이 생기는 과정.,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.75.1226
M069,생명·신체,Rules for Biologically Inspired Adaptive Network Design,Atsushi Tero et al.,2010,paper,점균의 성장·연결 방식을 모델로 삼아 효율과 견고함을 갖춘 운송망을 만드는 과정.,https://www.biology.ox.ac.uk/publication/46167/pubmed
M070,지구·생태계,The Limits to Growth / World3,Donella H. Meadows; Dennis L. Meadows; Jørgen Randers; William W. Behrens III,1972,book/project,인구·산업·식량·자원·오염이 서로 연결될 때 세계의 장기 경로가 달라지는 방식.,https://www.clubofrome.org/publication/the-limits-to-growth/
M071,지구·생태계,An optimal transition path for controlling greenhouse gases / DICE,William D. Nordhaus,1992,paper/model,경제성장·배출·기후변화·감축 비용을 연결해 기후 대응 경로를 계산.,https://pubmed.ncbi.nlm.nih.gov/17778354/
M072,지구·생태계,Biological homeostasis of the global environment: the parable of Daisyworld,Andrew J. Watson; James E. Lovelock,1983,paper,검고 흰 데이지가 행성의 온도를 바꾸고 그 온도가 다시 생존에 영향을 주는 가상 세계.,https://www.jameslovelock.org/biological-homeostasis-of-the-global-environment-the-parable-of-daisyworld/
M073,지구·생태계,The effect of solar radiation variations on the climate of the Earth,Mikhail I. Budyko,1969,paper,들어오는 태양 에너지의 변화가 지구의 온도와 기후 상태를 바꾸는 방식.,https://tellusjournal.org/articles/10.3402/tellusa.v21i5.10109
M074,지구·생태계,Thermohaline Convection with Two Stable Regimes of Flow,Henry Stommel,1961,paper,온도·염분 차이가 만든 해수 순환이 서로 다른 안정 상태를 가질 수 있는 구조.,https://tellusjournal.org/articles/10.3402/tellusa.v13i2.9491
M075,지구·생태계,Catastrophic shifts in ecosystems,Marten Scheffer et al.,2001,review/framework,환경 압력이 조금씩 늘어도 생태계가 갑자기 다른 상태로 넘어가는 현상.,https://www.nature.com/articles/35098000
M076,지구·생태계,Emergent Global Patterns of Ecosystem Structure and Function from a Mechanistic General Ecosystem Model / Madingley,Michael B. J. Harfoot et al.,2014,paper/project,개체의 성장·섭식·번식·죽음을 결합해 육지와 바다의 생태계 구조를 생성.,https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.1001841
M077,지구·생태계,InVEST,Natural Capital Project / Natural Capital Alliance,ongoing,project,토지·환경 관리가 달라질 때 자연이 제공하는 서비스의 위치·양·가치가 달라지는 방식.,https://naturalcapitalalliance.stanford.edu/invest/models
M078,지구·생태계,En-ROADS,Climate Interactive and collaborators,ongoing,project,에너지·토지 이용·소비 등에 관한 정책 선택이 기후 결과에 미치는 영향.,https://docs.climateinteractive.org/projects/en-roads-reference-guide/en/latest/
M079,지구·생태계,C-ROADS,Climate Interactive and collaborators,ongoing,project,국가·지역별 배출 감축 약속을 합쳤을 때 지구 기후가 어떻게 달라지는지 계산.,https://docs.climateinteractive.org/projects/c-roads-reference-guide/en/latest/
M080,공학·운영,A New Approach to Linear Filtering and Prediction Problems,Rudolf E. Kalman,1960,paper,잡음이 섞인 측정으로 직접 보이지 않는 시스템의 현재 상태와 미래를 추정.,https://cds.cern.ch/record/434680
M081,공학·운영,A Proof for the Queuing Formula: L = λW,John D. C. Little,1961,paper,대기 시스템 안의 평균 인원수·유입 속도·머무는 시간이 연결되는 법칙.,https://doi.org/10.1287/opre.9.3.383
M082,공학·운영,The Truck Dispatching Problem,George B. Dantzig; John H. Ramser,1959,paper,주유소별 수요를 충족하면서 배송 차량들의 총 이동거리를 줄이는 배차·경로.,https://doi.org/10.1287/mnsc.6.1.80
M083,공학·운영,Modeling Managerial Behavior: Misperceptions of Feedback in a Dynamic Decision Making Experiment,John D. Sterman,1989,paper,사람의 발주 판단과 시간 지연이 공급망의 재고·주문 진동을 만들어내는 과정.,https://doi.org/10.1287/mnsc.35.3.321
M084,공학·운영,OpenSim: Open-Source Software to Create and Analyze Dynamic Simulations of Movement,Scott L. Delp et al.,2007,paper/project,뼈·관절·근육의 구조와 힘을 결합해 사람의 움직임을 재현.,https://simtk.org/docman/view.php/91/786/Delp.OpenSim.2007.pdf
M085,공학·운영,The Digital Twin Paradigm for Future NASA and U.S. Air Force Vehicles,Edward Glaessgen; David Stargel,2012,technical paper,시뮬레이션·센서·정비 이력을 결합해 실제 비행체 한 대의 수명과 상태를 따라가는 디지털 대응물.,https://ntrs.nasa.gov/api/citations/20120008178/downloads/20120008178.pdf
M086,공학·운영,EPANET,US Environmental Protection Agency,ongoing,project,상수도 배관망의 유량·수압·수질 성분이 시간에 따라 이동하는 과정.,https://www.epa.gov/water-research/epanet
M087,공학·운영,PyPSA: Python for Power System Analysis,Tom Brown; Jonas Hörsch; David Schlachtberger,2018,paper/project,발전·송전·저장 장치를 연결해 전력망의 운영과 설비 투자를 계산.,https://arxiv.org/abs/1707.09913
M088,공학·운영,A method for building self-folding machines,Samuel Felton et al.,2014,paper/project,평평한 재료가 정해진 접힘 구조를 따라 스스로 접혀 작동하는 로봇이 되는 과정.,https://samfelton.net/paperfiles/Felton_Science14.pdf
M089,공학·운영,Synchronization in complex oscillator networks and smart grids,Florian Dörfler; Michael Chertkov; Francesco Bullo,2013,paper,연결된 발전기·진동자들이 공통 리듬을 유지하며 안정적으로 작동하는 조건.,https://pmc.ncbi.nlm.nih.gov/articles/PMC3568350/
M090,여러 분야에 쓰이는 수학적 구조,Collective dynamics of small-world networks,Duncan J. Watts; Steven H. Strogatz,1998,paper,가까운 이웃끼리 뭉치면서도 멀리 있는 대상까지 짧은 단계로 연결되는 관계망.,https://www.nature.com/articles/30918
M091,여러 분야에 쓰이는 수학적 구조,Emergence of Scaling in Random Networks,Albert-László Barabási; Réka Albert,1999,paper,새 연결이 이미 연결이 많은 곳에 몰리면서 소수의 거대 허브가 생기는 과정.,https://arxiv.org/abs/cond-mat/9910332
M092,여러 분야에 쓰이는 수학적 구조,Deterministic Nonperiodic Flow,Edward N. Lorenz,1963,paper,단순한 대류 방정식에서도 초기의 작은 차이가 전혀 다른 움직임으로 커지는 현상.,https://journals.ametsoc.org/view/journals/atsc/20/2/1520-0469_1963_020_0130_dnf_2_0_co_2.xml
M093,여러 분야에 쓰이는 수학적 구조,Self-organized criticality: An explanation of the 1/f noise,Per Bak; Chao Tang; Kurt Wiesenfeld,1987,paper,조금씩 힘이 가해지는 시스템에서 다양한 규모의 연쇄 붕괴가 생기는 구조.,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.59.381
M094,여러 분야에 쓰이는 수학적 구조,How Long Is the Coast of Britain? Statistical Self-Similarity and Fractional Dimension,Benoît Mandelbrot,1967,paper,측정 눈금을 작게 할수록 길이가 달라지는 해안선의 불규칙한 형태.,https://users.math.yale.edu/mandelbrot/web_pdfs/howLongIsTheCoastOfBritain.pdf
M095,여러 분야에 쓰이는 수학적 구조,A simple model of global cascades on random networks,Duncan J. Watts,2002,paper,아주 작은 초기 충격이 관계망 전체의 연쇄 변화로 커지는 조건.,https://pmc.ncbi.nlm.nih.gov/articles/PMC122850/
M096,여러 분야에 쓰이는 수학적 구조,Spectra of some self-exciting and mutually exciting point processes,Alan G. Hawkes,1971,paper,이미 발생한 사건이 뒤따르는 사건의 발생률을 높이는 연쇄적 사건 흐름.,https://academic.oup.com/biomet/article-abstract/58/1/83/224809
M097,여러 분야에 쓰이는 수학적 구조,Evolutionary games and spatial chaos,Martin A. Nowak; Robert M. May,1992,paper,이웃끼리 전략을 겨루면서 협력자와 배신자의 공간적 무늬가 바뀌는 과정.,https://www.nature.com/articles/359826a0
M098,여러 분야에 쓰이는 수학적 구조,Analytical Note on Certain Rhythmic Relations in Organic Systems,Alfred J. Lotka,1920,paper,서로 연결된 유기적 과정들이 반복적인 변동을 만들어내는 수학적 구조.,https://pmc.ncbi.nlm.nih.gov/articles/PMC1084562/
M099,여러 분야에 쓰이는 수학적 구조,The Components of Predation as Revealed by a Study of Small-Mammal Predation of the European Pine Sawfly,C. S. Holling,1959,paper,먹이의 수가 달라질 때 포식자가 먹는 양과 포식 압력이 달라지는 방식.,https://doi.org/10.4039/ent91293-5
M100,여러 분야에 쓰이는 수학적 구조,An Equilibrium Theory of Insular Zoogeography,Robert H. MacArthur; Edward O. Wilson,1963,paper,섬으로 들어오는 종과 사라지는 종의 균형으로 생물종 수가 결정되는 방식.,https://doi.org/10.1111/j.1558-5646.1963.tb03295.x
M101,여러 분야에 쓰이는 수학적 구조,Causal diagrams for empirical research,Judea Pearl,1995,paper/framework,변수 사이의 원인 관계를 그래프로 명시하고 개입 효과를 알아낼 수 있는지 판단하는 틀.,https://academic.oup.com/biomet/article-abstract/82/4/669/251647
M102,음악·생성적 형태,Stochastic music / Formalized Music,Iannis Xenakis,1950s; book 1963/1971,book/compositional system,음들의 밀도·음높이·길이·전환을 확률과 확률과정으로 조직하는 작곡.,https://www.iannis-xenakis.org/en/stochastic-music/
M103,음악·생성적 형태,UPIC,Iannis Xenakis; CEMAMu,1977,project,그림으로 그린 곡선과 형태를 음의 구조·시간·합성 규칙으로 바꾸는 시스템.,https://centre-iannis-xenakis.org/cix_upic_presentation?lang=en
M104,음악·생성적 형태,Musical Composition with a High Speed Digital Computer / ILLIAC Suite,Lejaren Hiller; Leonard Isaacson,1957,paper/project,음악적 제약과 선택 절차를 프로그램으로 만들어 악보를 생성하는 작곡 실험.,https://secure.aes.org/forum/pubs/conventions/?elib=189
M105,음악·생성적 형태,Experiments in Musical Intelligence,David Cope,1996 reference book,book/project,기존 곡의 패턴을 분석하고 재결합해 작곡가의 음악적 스타일을 재현.,https://files.areditions.com/cmdas/DAS12/cmdas012.html
M106,음악·생성적 형태,The Geometry of Musical Chords,Dmitri Tymoczko,2006,paper,"화음을 기하학적 공간의 점으로, 화음 사이 음의 이동을 경로로 표현.",https://collaborate.princeton.edu/en/publications/the-geometry-of-musical-chords/
M107,음악·생성적 형태,The Algorithmic Beauty of Plants,Przemysław Prusinkiewicz; Aristid Lindenmayer,1990,book,문자열 변환 규칙과 기하학으로 식물의 가지·성장·형태를 생성.,https://www.algorithmicbotany.org/papers/abop/abop.pdf
M108,음악·생성적 형태,Evolving Virtual Creatures,Karl Sims,1994,paper/project,가상 물리 세계에서 몸의 형태와 제어 방식이 함께 진화해 움직이는 생명체를 생성.,https://doi.org/10.1145/192161.192167
